Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
50.5,40,40.0282645509689,39.9775638116689
50.6,40,40.0282671346965,39.9771094705317
50.7,40,40.0548506128003,39.9549650782439
50.8,40,40.0413219889964,39.9651268254631
50.9,40,40.0214544327092,39.9806775995695
51,40,40.0093534973154,39.9902086919274
51.1,40,39.998149579287,39.9992014330816
51.2,40,39.9938773877193,40.0027171481323
51.3,40,39.9923844631542,40.0040333363738
51.4,40,39.9904514990907,40.0057324836392
51.5,40,39.9961136528639,40.0012649421748
51.6,40,40.0000696488629,39.9980990309938
51.7,40,40.0074682932883,39.9920606227608
51.8,40,40.0247691139737,39.977823660389
51.9,40,40.0359486622871,39.9683048431417
52,40,40.0219041382462,39.9791899961625
52.1,40,39.9980001469491,39.998345186849
52.2,40,40.0069366990129,39.9910849580137
52.3,40,39.988448772877,40.0060601185564
52.4,40,39.9894584385925,40.0054210509665
52.5,40,39.99012578994,40.0050451572495
52.6,40,40.0124716545644,39.9869689190769
52.7,40,40.0112813995396,39.9877406207041
52.8,40,40.0057924260165,39.9920391207063
52.9,40,40.007854764507,39.9902635736818
53,40,40.0099400666781,39.9884362908781
53.1,40,40.0102077574259,39.9880588141611
53.2,40,40.0037438282148,39.9931700562785
53.3,40,39.9914299680352,40.0031582649336
53.4,40,39.994795767395,40.0005488931674
53.5,40,39.9816143906876,40.0113881642824
53.6,40,39.9719846412031,40.0195402096107
53.7,40,39.986106224869,40.0084652430801
53.8,40,39.9824015435843,40.0117105634105
53.9,40,39.9815926229306,40.0126522179665
54,40,39.9911164820691,40.0051752669427
54.1,40,39.9884235666281,40.0075148222294
54.2,40,39.9989930021933,39.9990753857422
54.3,40,39.99557825148,40.0018779342891
54.4,40,40.0057304038523,39.9936645259297
54.5,40,40.0117223133195,39.9886834413428
54.6,40,40.0091571224678,39.9905890800646
54.7,40,40.000218472984,39.9977365040839
54.8,40,39.9898418625814,40.0062003226047
54.9,40,39.987491921398,40.008280404809
55,40,39.9835656708894,40.0116843544817
55.1,40,39.9800763113202,40.0147946211559
55.2,40,39.9905015301755,40.0066064215889
55.3,40,39.9878730291896,40.0089032539106
55.4,40,39.9996126354119,39.9995177667661
55.5,40,39.9943473650751,40.0038204251944
55.6,40,40.0041639900888,39.995900501342
55.7,40,39.998829735814,40.0001866289888
55.8,40,40.0006048413983,39.998756867059
55.9,40,40.0101791974435,39.9909345150638
56,40,40.0056995270713,39.9944270589284
56.1,40,40.0011371483914,39.998058767498
56.2,40,40.0209110883556,39.981905038113
56.3,40,40.0295541832956,39.9745176952283
56.4,40,40.0241872631941,39.9784242350983
56.5,40,40.0297060382969,39.9735339184034
56.6,40,40.025028761563,39.9768752796055
56.7,40,40.0310639886733,39.9715500740984
56.8,40,40.0439033791843,39.9605761076227
56.9,40,40.0263676191885,39.9741828337124
